Strain	Variant category	Clade	Country	Division	Epidemiological Week	Location	originating_lab	Lineage	Region	submitting_lab	Collection Data	Author	Accession	url
USA/CT-Yale-P000009/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW10	New Haven	Yale Pathology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-09	GLab team	[object Object]	
USA/CT-Yale-P000010/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW10	New Haven	Yale Pathology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-09	GLab team	[object Object]	
USA/CT-Yale-2193/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW09	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-06	GLab team	[object Object]	
USA/CT-Yale-4632/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW17	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-05-01	GLab team	[object Object]	
USA/CT-Yale-3521/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW14	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-05	GLab team	[object Object]	
USA/CT-Yale-4380/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW16	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-22	GLab team	[object Object]	
USA/CT-Yale-4378/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW16	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-22	GLab team	[object Object]	
USA/CT-Yale-2546/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW10	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-12	GLab team	[object Object]	
USA/CT-Yale-2613/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW11	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-16	GLab team	[object Object]	
USA/CT-Yale-3495/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW14	Fairfield	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-05	GLab team	[object Object]	
USA/CT-Yale-4007/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW15	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-13	GLab team	[object Object]	
USA/CT-Yale-4430/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW16	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-23	GLab team	[object Object]	
USA/CT-Yale-4120/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW16	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-19	GLab team	[object Object]	
USA/CT-Yale-4008/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW15	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-13	GLab team	[object Object]	
USA/CT-Yale-4009/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW15	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-13	GLab team	[object Object]	
USA/CT-Yale-3128/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW12	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-27	GLab team	[object Object]	
USA/CT-Yale-4469/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW17	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-25	GLab team	[object Object]	
USA/CT-Yale-3791/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW14	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-08	GLab team	[object Object]	
USA/CT-Yale-4674/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW18	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-05-02	GLab team	[object Object]	
USA/CT-Yale-3406/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW13	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-02	GLab team	[object Object]	
USA/CT-Yale-4019/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW15	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-14	GLab team	[object Object]	
USA/CT-Yale-3970/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW15	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-14	GLab team	[object Object]	
USA/CT-Yale-4533/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW17	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-26	GLab team	[object Object]	
USA/CT-Yale-3998/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW15	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-14	GLab team	[object Object]	
USA/CT-Yale-3457/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW14	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-06	GLab team	[object Object]	
USA/CT-Yale-4038/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW15	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-13	GLab team	[object Object]	
USA/CT-Yale-3630/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW14	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-06	GLab team	[object Object]	
USA/CT-Yale-4532/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW17	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-26	GLab team	[object Object]	
USA/CT-Yale-4242/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW16	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-20	GLab team	[object Object]	
USA/CT-Yale-3723/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW14	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-07	GLab team	[object Object]	
USA/CT-Yale-3901/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW15	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-12	GLab team	[object Object]	
USA/CT-Yale-3888/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW15	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-12	GLab team	[object Object]	
USA/CT-Yale-3722/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW14	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-07	GLab team	[object Object]	
USA/CT-Yale-3922/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW15	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-12	GLab team	[object Object]	
USA/CT-Yale-4206/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW15	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-13	GLab team	[object Object]	
USA/CT-JAX001261/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW17	New Haven	The Jackson Laboratory	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-26	GLab team	[object Object]	
USA/CT-Yale-4531/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW17	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-26	GLab team	[object Object]	
USA/CT-Yale-3207/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW12	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-27	GLab team	[object Object]	
USA/CT-JAX001055/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW15	New Haven	The Jackson Laboratory	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-17	GLab team	[object Object]	
USA/CT-Yale-4530/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW17	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-26	GLab team	[object Object]	
USA/CT-Yale-2069/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW09	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-02-28	GLab team	[object Object]	
USA/CT-Yale-P000012/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW10	New Haven	Yale Pathology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-09	GLab team	[object Object]	
USA/CT-Yale-2362/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW10	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-10	GLab team	[object Object]	
USA/CT-JAX000488/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW12	Fairfield	The Jackson Laboratory	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-23	GLab team	[object Object]	
USA/CT-Yale-2906/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW12	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-22	GLab team	[object Object]	
USA/CT-JAX000448/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW11	Hartford	The Jackson Laboratory	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-19	GLab team	[object Object]	
USA/CT-Yale-2804/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW11	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-20	GLab team	[object Object]	
USA/CT-JAX000643/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW13	Fairfield	The Jackson Laboratory	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-31	GLab team	[object Object]	
USA/CT-Yale-2454/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW10	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-12	GLab team	[object Object]	
USA/CT-JAX001182/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW16	Hartford	The Jackson Laboratory	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-20	GLab team	[object Object]	
USA/CT-Yale-3733/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW14	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-07	GLab team	[object Object]	
USA/CT-JAX000731/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW13	Windham	The Jackson Laboratory	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-29	GLab team	[object Object]	
USA/CT-Yale-4329/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW16	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-20	GLab team	[object Object]	
USA/CT-Yale-4543/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW17	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-27	GLab team	[object Object]	
USA/CT-Yale-2941/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW12	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-23	GLab team	[object Object]	
USA/CT-Yale-2962/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW12	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-23	GLab team	[object Object]	
USA/CT-Yale-3206/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW12	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-25	GLab team	[object Object]	
USA/CT-Yale-2970/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW12	Fairfield	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-23	GLab team	[object Object]	
USA/CT-Yale-2809/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW12	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-21	GLab team	[object Object]	
USA/CT-Yale-4694/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW18	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-05-04	GLab team	[object Object]	
USA/CT-Yale-4850/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW18	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-05-07	GLab team	[object Object]	
USA/CT-Yale-4685/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW18	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-05-04	GLab team	[object Object]	
USA/CT-Yale-4909/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW19	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-05-12	GLab team	[object Object]	
USA/CT-Yale-4849/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW18	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-05-07	GLab team	[object Object]	
USA/CT-JAX000810/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW14	New Haven	The Jackson Laboratory	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-08	GLab team	[object Object]	
USA/CT-JAX000601/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW12	Fairfield	The Jackson Laboratory	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-24	GLab team	[object Object]	
USA/CT-JAX000402/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW11	Fairfield	The Jackson Laboratory	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-18	GLab team	[object Object]	
USA/CT-JAX000395/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW11	Fairfield	The Jackson Laboratory	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-17	GLab team	[object Object]	
USA/CT-Yale-2850/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW12	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-22	GLab team	[object Object]	
USA/CT-Yale-2898/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW12	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-22	GLab team	[object Object]	
USA/CT-Yale-3734/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW15	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-12	GLab team	[object Object]	
USA/CT-Yale-3994/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW15	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-13	GLab team	[object Object]	
USA/CT-Yale-3962/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW15	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-13	GLab team	[object Object]	
USA/CT-Yale-3351/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW12	New London	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-27	GLab team	[object Object]	
USA/CT-Yale-3001/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW12	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-24	GLab team	[object Object]	
USA/CT-Yale-3281/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW12	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-27	GLab team	[object Object]	
USA/CT-Yale-2983/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW12	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-24	GLab team	[object Object]	
USA/CT-JAX000784/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW13	New Haven	The Jackson Laboratory	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-03	GLab team	[object Object]	
USA/CT-Yale-3651/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW14	Fairfield	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-07	GLab team	[object Object]	
USA/CT-Yale-4864/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW19	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-05-09	GLab team	[object Object]	
USA/CT-Yale-4907/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW19	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-05-12	GLab team	[object Object]	
USA/CT-Yale-4513/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW17	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-26	GLab team	[object Object]	
USA/CT-Yale-4607/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW17	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-28	GLab team	[object Object]	
USA/CT-Yale-P000049/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW09	Middlesex	Yale Pathology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-02	GLab team	[object Object]	
USA/CT-Yale-P000063/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW10	Middlesex	Yale Pathology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-08	GLab team	[object Object]	
USA/CT-Yale-2074/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW09	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-04	GLab team	[object Object]	
USA/CT-Yale-P000076/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW10	New Haven	Yale Pathology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-11	GLab team	[object Object]	
USA/CT-Yale-2597/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW11	New London	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-17	GLab team	[object Object]	
USA/CT-Yale-4935/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW20	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-05-16	GLab team	[object Object]	
USA/CT-Yale-3255/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW12	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-26	GLab team	[object Object]	
USA/CT-Yale-2320/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW10	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-08	GLab team	[object Object]	
USA/CT-Yale-4439/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW16	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-23	GLab team	[object Object]	
USA/CT-JAX000855/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW14	Fairfield	The Jackson Laboratory	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-08	GLab team	[object Object]	
USA/CT-Yale-4440/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW16	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-23	GLab team	[object Object]	
USA/CT-Yale-P000075/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW10	New Haven	Yale Pathology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-11	GLab team	[object Object]	
USA/CT-JAX001034/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW15	Hartford	The Jackson Laboratory	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-14	GLab team	[object Object]	
USA/CT-JAX000886/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW14	Hartford	The Jackson Laboratory	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-04	GLab team	[object Object]	
USA/CT-Yale-3392/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW13	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-31	GLab team	[object Object]	
USA/CT-Yale-4800/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW18	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-05-04	GLab team	[object Object]	
USA/CT-Yale-4040/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW15	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-12	GLab team	[object Object]	
USA/CT-Yale-3616/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW14	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-07	GLab team	[object Object]	
USA/CT-Yale-3440/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW14	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-05	GLab team	[object Object]	
USA/CT-Yale-2905/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW12	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-22	GLab team	[object Object]	
USA/CT-Yale-3553/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW14	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-06	GLab team	[object Object]	
USA/CT-Yale-3435/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW14	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-06	GLab team	[object Object]	
USA/CT-Yale-3729/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW14	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-07	GLab team	[object Object]	
USA/CT-Yale-3436/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW14	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-06	GLab team	[object Object]	
USA/CT-Yale-3610/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW14	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-07	GLab team	[object Object]	
USA/CT-Yale-P000046/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW09	Fairfield	Yale Pathology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-02	GLab team	[object Object]	
USA/CT-JAX000280/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW10	Fairfield	The Jackson Laboratory	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-09	GLab team	[object Object]	
